guessWord,genreHint,directorsHint,studioHint
Randy and the Mob,"Comedy, Documentary",Ray McKinnon,Capricorn Pictures
Black Irish,Drama,Brad Gann,Anywhere
Wild Child,Comedy,"Nicholas Moore, Nick Moore",Universal Pictures
Powder Blue,Drama,Timothy Linh Bui,Speakeasy Releasing
King Corn,"Documentary, Musical & Performing Arts, Special Interest","Curt Ellis, Ian Cheney, Aaron Woolf",Balcony Releasing
L' Avocat de la Terreur (Terror's Advocate),"Art House & International, Documentary, Special Interest",Barbet Schroeder,Magnolia Pictures
Darfur Now,"Documentary, Drama, Musical & Performing Arts, Special Interest","Ted Braun, Theodore Braun",Warner Independent Pictures
Laaga Chunari Mein Daag - Journey of a Woman,"Art House & International, Drama",Pradeep Sarkar,Yash Raj Films
Rails & Ties,Drama,Alison Eastwood,Warner Independent
Mr. Untouchable,Documentary,Marc Levin,Magnolia Pictures
House,"Drama, Horror, Mystery & Suspense",Robby Henson,Roadside Attractions
Canvas,Drama,Joseph Greco,Screen Media Films
Skid Row,"Documentary, Special Interest","Ross Clarke, Niva Dorell, Marshall Tyler",Screen Media Films
Saawariya,"Art House & International, Drama, Musical & Performing Arts, Romance",Sanjay Leela Bhansali,Sony Pictures
Aaja Nachle,"Art House & International, Drama, Musical & Performing Arts, Romance",Anil Mehta,Yash Raj Films
Flawless,"Drama, Mystery & Suspense",Michael Radford,Magnolia Pictures
What Happens in Vegas,"Comedy, Romance",Tom Vaughan,20th Century Fox
Appaloosa,"Action & Adventure, Western",Ed Harris,Warner Bros. Pictures
Good,Drama,Vicente Amorim,ThinkFilm
The Visitor,Drama,Tom McCarthy,Overture Films
Meet Bill,Comedy,"Melisa Wallack, Bernie Goldmann",First Look
Married Life,"Comedy, Drama, Mystery & Suspense, Romance",Ira Sachs,Sony Classics
Badland,Drama,Francesco Lucente,Arcangelo Entertainment
The Oxford Murders,"Art House & International, Drama, Horror, Mystery & Suspense",Álex de la Iglesia,Magnolia Pictures
Untraceable,"Drama, Horror, Mystery & Suspense",Gregory Hoblit,Sony/Screen Gems
The Informers,"Drama, Mystery & Suspense",Gregor Jordan,Senator International
Meeting Resistance,"Documentary, Special Interest","Molly Bingham, Steve Connors",IFC
The Freshman,"Comedy, Drama",Andrew Bergman,Sony Pictures Home Entertainment
Guta-yubalja-deul (A Bloody Aria),"Art House & International, Drama, Mystery & Suspense",Shin-yeon Won,
The Rocker,"Comedy, Drama",Peter Cattaneo,Fox Atomic
The Perfect Holiday,"Kids & Family, Romance",Lance Rivera,Yari Film Group
La Graine et le Mulet (The Secret of the Grain) (Couscous),"Art House & International, Drama",Abdel Kechiche,IFC Films
Land of the Lost,"Action & Adventure, Comedy, Science Fiction & Fantasy",Brad Silberling,Universal Pictures
[Rec],"Art House & International, Horror, Special Interest","Jaume Balagueró, Paco Plaza",Odeon Sky Filmworks
Look,"Comedy, Drama",Adam Rifkin,Liberated Artists
And God Created Woman,"Classics, Comedy, Drama, Romance",Roger Vadim,Vestron Video
The Box,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Richard Kelly,Warner Bros. Pictures
Man in the Chair,"Comedy, Drama",Michael Schroeder,Outsider Films
Undoing,"Drama, Mystery & Suspense",Chris Chan Lee,Indican
Black Water,"Horror, Mystery & Suspense","David Nerlich, Andrew Traucki",GGrindstone Entertainment Group
21,"Drama, Mystery & Suspense",Robert Luketic,Sony/Columbia Pictures
The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe),"Art House & International, Drama, Romance",Jacques Rivette,IFC First Take
Ben X,"Art House & International, Drama, Mystery & Suspense",Nic Balthazar,Film Movement
Body of Lies,"Drama, Mystery & Suspense",Ridley Scott,Warner Bros. Pictures
Passengers,"Drama, Mystery & Suspense",Rodrigo García,Sony Pictures/TriStar Pictures
The Grand,Comedy,Zak Penn,Anchor Bay Entertainment
The Hammer,Comedy,Charles Herman-Wurmfeld,IFC Films
Shutter,"Horror, Mystery & Suspense",Masayuki Ochiai,20th Century Fox
Priest,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy, Western",Scott Stewart,Screen Gems/SONY PICTURES
The Broken,"Horror, Mystery & Suspense",Sean Ellis (II),After Dark Films
The Escapist,"Art House & International, Mystery & Suspense",Rupert Wyatt,IFC Films
Sugar,"Drama, Sports & Fitness","Anna Boden, Ryan Fleck",Sony Classics
Quid Pro Quo,"Drama, Mystery & Suspense",Carlos Brooks,Magnolia Pictures
Red,"Drama, Mystery & Suspense","Trygve Allister Diesen, Lucky McKee",Magnolia Pictures
The Guitar,Drama,Amy Redford,Lightning Media
The Road,"Drama, Mystery & Suspense, Science Fiction & Fantasy","Javier Aguirresarobe, John Hillcoat",The Weinstein Co./Dimension
G-Force,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy","Hoyt Yeatman, Hoyt Yeatman IV",Walt Disney Pictures
The Other Man,Drama,Richard Eyre,Image Entertainment
The Duchess,Drama,Saul Dibb,Paramount Vantage
The Women,"Comedy, Drama",Diane English,Picturehouse Entertainment
Public Enemies,"Action & Adventure, Drama",Michael Mann,Universal Studios
Night and Day (Bam gua nat),"Art House & International, Drama",Hong Sang-soo,IFC Films
Julia,"Art House & International, Drama, Mystery & Suspense",Erick Zonca,Magnolia Pictures
Angel and the Badman,"Classics, Western, Romance",James Edward Grant,Republic Pictures
Fade to Black,Mystery & Suspense,Oliver Parker,Lionsgate
Angel Heart,"Drama, Mystery & Suspense",Alan Parker,TriStar Pictures
Old Dogs,"Comedy, Drama, Kids & Family","Walt Becker, Walter Becker",Walt Disney Pictures
Surrogates,"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy",Jonathan Mostow,Touchstone Pictures
The Promotion,Comedy,Steven Conrad,Weinstein Company
Notorious,"Drama, Musical & Performing Arts",George Tillman Jr.,Fox Searchlight Pictures
Soul Men,"Comedy, Musical & Performing Arts",Malcolm D. Lee,MGM
Igor,"Animation, Comedy, Kids & Family","Anthony Leondis, Tony Leondis",MGM
The Matador,"Documentary, Special Interest","Stephen Higgins, Nina Gilden Seavey",City Lights Pictures
The Auteur,Comedy,James Westby,FilmBuff
The Caller,"Drama, Mystery & Suspense",Richard Ledes,Virgil Films & Entertainment
Sin Nombre,"Drama, Mystery & Suspense",Cary Joji Fukunaga,Focus Features
Das Haus der Schlafenden Schönen (House of the Sleeping Beauties),"Art House & International, Drama",Vadim Glowna,First Run Features
The Stone Angel,Drama,Kari Skogland,Vivendi Entertainment
Alvin and the Chipmunks: The Squeakquel,"Animation, Comedy, Kids & Family",Betty Thomas,20th Century Fox
Un Conte de Noël (A Christmas Tale),"Art House & International, Comedy, Drama",Arnaud Desplechin,IFC Films
The Rebound,"Comedy, Romance",Bart Freundlich,Momentum Picutres
Ripple Effect,Drama,Philippe Caland,Monterey Media
"1,000 Times Good Night",Drama,Erik Poppe,Film Movement
Harold,Comedy,T. Sean Shannon,Arsenal Pictures
Push,"Mystery & Suspense, Science Fiction & Fantasy",Paul McGuigan,Summit Entertainment
Felon,"Action & Adventure, Drama, Mystery & Suspense",Ric Roman Waugh,Sony Pictures Entertainment
Scar,"Drama, Horror, Mystery & Suspense",Jed Weintrob,Unknown
The Unborn,"Horror, Mystery & Suspense",David S. Goyer,Rogue Pictures
Bitch Slap,Action & Adventure,Rick Jacobson,Freestyle Releasing
Forever Strong,Drama,Ryan Little,Crane Movie Company
Chocolate,"Action & Adventure, Art House & International",Prachya Pinkaew,Magnolia Pictures
Fireproof,Drama,Alex Kendrick,Sherwood Pictures
Dostana,"Art House & International, Comedy","Tarun Mansukhani, Raj Khosla",Yash Raj Films
The Garden,"Documentary, Special Interest",Scott Hamilton Kennedy,Oscilloscope Pictures
Splinter,"Horror, Mystery & Suspense",Toby Wilkins,Magnolia Pictures/Magnet Pictures
Leaves of Grass,"Comedy, Drama, Mystery & Suspense",Tim Blake Nelson,First Look Studios
Rab Ne Bana Di Jodi (A Couple Made by God) (A Match Made in Heaven),Romance,Aditya Chopra,Yash Raj Films
The Proposal,"Comedy, Romance",Anne Fletcher,Walt Disney Pictures
Gigantic,"Comedy, Romance",Matt Aselton,First Independent Pictures
Fuel,"Documentary, Special Interest",Josh Tickell,Greenlight Theatrical
Hush,Mystery & Suspense,Mark Tonderai,IFC Films
Anna Karenina,"Classics, Drama, Romance",Clarence Brown,WARNER BROTHERS PICTURES
Orphan,"Drama, Horror, Mystery & Suspense",Jaume Collet-Serra,Warner Bros. Pictures
My Sister's Keeper,Drama,,Warner Bros. Pictures
The Hangover,Comedy,Todd Phillips,Warner Bros. Pictures
The Stepfather,"Horror, Mystery & Suspense",Nelson McCormick,Screen Gems
Okuribito (Departures),"Art House & International, Drama",Yojiro Takita,Regent Releasing
Boogie (Summer Holiday),"Comedy, Drama",Radu Muntean,IFC Films
Prima Ballerina,"Art House & International, Special Interest",Laurent Gentot,First Run Features
Season of the Witch,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",Dominic Sena,Relativity Media
Shuttle,Mystery & Suspense,Edward Anderson,Magnolia Pictures
Miss March,Comedy,"Zach Cregger, Trevor Moore",20th Century Fox
An American Affair,"Drama, Mystery & Suspense",Sebastian Shah,Screen Media Films
Grace,"Drama, Horror",Paul Solet,Anchor Bay Entertainment
Endgame,"Drama, Mystery & Suspense",Pete Travis,Monterey Media
The Red Baron (Der rote Baron),"Action & Adventure, Drama, Romance",Nikolai Muellerschoen,Monterey Media
The Objective,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",Daniel Myrick,IFC Films
Happy Tears,"Comedy, Drama",Mitchell Lichtenstein,Roadside Attractions
The Missing Person,"Comedy, Drama, Mystery & Suspense",Noah Buschel,Strand Releasing
Polanski (Polanski Unauthorized),"Art House & International, Drama",Damian Chapa,Walking Shadows
Mammoth (Mammut),"Art House & International, Drama",Lukas Moodysson,IFC Films
Crude,"Documentary, Special Interest",Joe Berlinger,First Run Features
The Messenger,"Drama, Romance",Oren Moverman,Oscilloscope Pictures
Lake Mungo,"Horror, Mystery & Suspense",Joel Anderson,After Dark Films
Venkovský Ucitel (The Country Teacher),"Art House & International, Drama",Bohdan Sláma,Film Movement
The Apartment,"Classics, Comedy, Drama, Romance",Billy Wilder,United Artists
Chatham (The Golden Boys),"Comedy, Romance",Daniel Adams,Roadside Attractions
The Ape,"Classics, Drama, Horror, Science Fiction & Fantasy",William Nigh,Monogram
Fame,"Drama, Musical & Performing Arts, Romance",Kevin Tancharoen,MGM
Outrage,Documentary,Kirby Dick,Magnolia Pictures
Skin,"Art House & International, Drama, Mystery & Suspense",Anthony Fabian,Elysian Films
Helen,Drama,"Christine Molloy, Joe Lawlor (II)",New Wave Films
Bakjwi (Thirst),"Art House & International, Drama, Horror",Chan-wook Park,Focus Features
Vengeance (Fuk sau),"Action & Adventure, Art House & International, Mystery & Suspense",Johnnie To,IFC Films
New World Order,"Documentary, Special Interest","Luke Meyer, Andrew Neel",SeeThink Productions
April Fool's Day,Horror,Fred Walton,Paramount Pictures
Blood: The Last Vampire,"Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy",Chris Nahon,Samuel Goldwyn Films
Shrink,"Comedy, Drama",Jonas Pate,Roadside Attractions
Ong Bak 2,"Action & Adventure, Art House & International","Panna Rittikrai, Prachya Pinkaew, Tony Jaa",Magnolia Pictures
Bananas!,"Art House & International, Documentary, Special Interest",Fredrik Gertten,WG Film
Last Ride,Drama,Glendyn Ivin,Music Box Films
Tron Legacy,"Action & Adventure, Science Fiction & Fantasy",Joseph Kosinski,Walt Disney Pictures
The Canyon,"Drama, Mystery & Suspense",Richard Harrah,Magnolia Pictures
"Manson, My Name Is Evil","Comedy, Drama, Science Fiction & Fantasy",Reginald Harkema,E1 Entertainment
Broken Hill,"Drama, Kids & Family",Dagen Merrill,Audience Alliance
A Beautiful Life,Drama,Alejandro Chomski,New Films International
Suck,"Comedy, Horror, Musical & Performing Arts",Rob Stefaniuk,Independent Films
Chloe,"Drama, Mystery & Suspense",Atom Egoyan,Sony Pictures Classics
Armed and Dangerous,Comedy,Mark L. Lester,Sony Pictures Home Entertainment
The Hole,"Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",Joe Dante,Hole LLC.
NoBody's Perfect,"Art House & International, Documentary, Drama, Special Interest, Sports & Fitness",Niko von Glasow,Lorber Films
The Good Soldier,"Documentary, Drama, Special Interest, Television","Michael Uys, Lexy Lovell",Artistic License
High Life,Comedy,Gary Yates,Union Pictures
Around the World in 80 Days,"Action & Adventure, Comedy, Drama, Kids & Family",Michael Anderson,United Artists
The Good Heart,Drama,Dagur Kári,Magnolia Pictures
Wonderful World,"Drama, Romance",Joshua Goldin,Magnolia Pictures
Collapse,"Documentary, Special Interest",Chris Smith,Vitagraph Films
Three Blind Mice,"Comedy, Drama",Matthew Newton,IFC Films
The Last Song,"Drama, Kids & Family, Romance",Julie Ann Robinson,Walt Disney Studios
Babies,"Documentary, Special Interest",Thomas Balmès,Focus Features
Lottery Ticket,Comedy,Erik White,Warner Bros. Pictures
Going the Distance,"Comedy, Romance",Nanette Burstein,New Line Cinema
Life as We Know It,"Comedy, Drama","Gary Berlanti, Greg Berlanti",Warner Bros. Pictures
The Final,"Drama, Horror, Mystery & Suspense",Joey Stewart,After Dark Films
Frozen,"Drama, Horror, Mystery & Suspense",Adam Green,Anchor Bay
Prodigal Sons,"Documentary, Special Interest",Kimberly Reed,First Run Features
The Ghost Writer,"Drama, Mystery & Suspense","Hervé de Luze, Roman Polanski",Summit Entertainment
Repo Men,"Action & Adventure, Science Fiction & Fantasy",Miguel Sapochnik,Universal Studios
7 Days (Les 7 jours du talion),"Art House & International, Horror, Mystery & Suspense",Daniel Grou,Sundance Selects
Daddy Longlegs,"Comedy, Drama","Benny Safdie, Josh Safdie",IFC Films
Winter's Bone,Drama,Debra Granik,Roadside Attractions
The Kids Are All Right,"Comedy, Drama",Lisa Cholodenko,Focus Features
Lucky,"Documentary, Special Interest",Jeffrey Blitz,HBO Documentary Films
High School,Comedy,"John Stalberg, Jr.",Anchor Bay Entertainment
Stolen,"Drama, Mystery & Suspense",Anders Anderson,IFC Films
The Killing Jar,"Drama, Mystery & Suspense",Mark Young,Image Entertianment
La MISSION,Drama,Peter Bratt,Screen Media Ventures
Predators,"Action & Adventure, Horror, Science Fiction & Fantasy",Nimród Antal,20th Century Fox
Stonewall Uprising,"Documentary, Special Interest","Kate Davis, David Heilbroner",First Run Features
The Oath,"Documentary, Special Interest",Laura Poitras,Zeitgeist Films
The Wild Hunt,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Alexandre Franchi,Hannover House
The Lottery,"Documentary, Special Interest",Madeleine Sackler,Variance Films
Assault on Precinct 13,"Action & Adventure, Drama, Mystery & Suspense",John Carpenter,Turtle Releasing
Asylum,"Documentary, Horror, Mystery & Suspense, Science Fiction & Fantasy, Special Interest, Romance",Roy Ward Baker,Cinerama Releasing Corporation
Attack of the 50 Foot Woman,"Classics, Science Fiction & Fantasy",Nathan Juran,Allied Artists Pictures
Avenging Angel,"Action & Adventure, Drama, Mystery & Suspense",Robert Vincent O'Neil,Starmaker Entertainment
The Awakening,"Horror, Mystery & Suspense",Mike Newell,WARNER BROTHERS PICTURES
Babes in Toyland,"Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy, Romance",Jack Donohue,Buena Vista
Bad Company,"Action & Adventure, Drama, Western",Robert Benton,Paramount Pictures
The Bad News Bears,"Classics, Comedy",Michael Ritchie,Paramount Pictures
The Bad Seed,"Classics, Drama, Horror, Mystery & Suspense",Mervyn LeRoy,WARNER BROTHERS PICTURES
Bang The Drum Slowly,"Classics, Comedy, Drama, Sports & Fitness","John D. Hancock, John Hancock",Paramount Pictures
Battleground,"Action & Adventure, Classics, Drama",William Wellman,MGM
Beauty and The Beast (La Belle et la bête),"Drama, Science Fiction & Fantasy, Romance",Jean Cocteau,Lopert Pictures
1001 Grams,Drama,Bent Hamer,Kino Lorber
The Best of Times,"Comedy, Drama",Roger Spottiswoode,Sultan Entertainment
Betrayed,"Action & Adventure, Drama, Mystery & Suspense","Betsy Blair, Debra Winger, John Heard, John Mahoney, Ted Levine, Tom Berenger, Costa-Gavras",MGM Home Entertainment
The Big Brawl (Battle Creek Brawl),"Action & Adventure, Comedy",Robert Clouse,Golden Harvest Company
Big Business,Comedy,Jim Abrahams,
The Big Heat,"Classics, Drama, Mystery & Suspense",Fritz Lang,Columbia Pictures
The Big Sleep,"Classics, Drama, Mystery & Suspense",Howard Hawks,Warner Bros. Pictures
The Big Sleep,"Art House & International, Drama, Mystery & Suspense",Michael Winner,United Artists
Billy Budd,"Action & Adventure, Classics, Drama",Peter Ustinov,Allied Artists Pictures
The Birds,"Classics, Horror, Mystery & Suspense",Alfred Hitchcock,Universal Pictures
Black Christmas,"Horror, Mystery & Suspense",Bob Clark,Warner Bros. Pictures
The Black Hole,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",Gary Nelson,Walt Disney Productions
The Black Pirate,"Action & Adventure, Classics",Albert Parker,United Artists
Black Rain,"Action & Adventure, Drama, Mystery & Suspense",Ridley Scott,Paramount Home Video
Black Sunday,"Action & Adventure, Drama, Horror, Mystery & Suspense",John Frankenheimer,Anchor Bay Entertainment
Black Widow,"Drama, Mystery & Suspense",Bob Rafelson,Twentieth Century Fox Home Entertainment
Blackmail,"Classics, Drama, Mystery & Suspense",Alfred Hitchcock,Scott Entertainment
Blind Date,"Comedy, Drama",Blake Edwards,Sony Pictures Home Entertainment
Blood and Sand,"Classics, Drama, Romance",Rouben Mamoulian,20th Century Fox
Blood Feast,"Classics, Horror",Herschell Gordon Lewis,Box Office Spectaculars
Der Blaue Engel (The Blue Angel),"Art House & International, Classics, Drama, Musical & Performing Arts",Josef von Sternberg,Universum Film Gmbh
Bluebeard,"Classics, Drama, Horror, Mystery & Suspense",Edgar G. Ulmer,PRC Pictures Inc.
The Border,"Action & Adventure, Drama, Mystery & Suspense",Tony Richardson,Universal Pictures
Born Yesterday,"Classics, Comedy, Drama",George Cukor,Columbia Pictures
The Boston Strangler,"Classics, Drama, Mystery & Suspense",Richard Fleischer,20th Century Fox Film Corp.
The Bounty,"Action & Adventure, Drama",Roger Donaldson,MGM
The Boys from Brazil,"Action & Adventure, Drama, Mystery & Suspense",Franklin J. Schaffner,20th Century Fox Film Corporation
Brainstorm,"Mystery & Suspense, Science Fiction & Fantasy",Douglas Trumbull,MGM Home Entertainment
Breakout,Action & Adventure,Tom Gries,Sony Pictures Entertainment
Brewster's Millions,Comedy,Walter Hill,MCA Universal Home Video
Brian's Song,"Classics, Drama, Television",Buzz Kulik,Sony Pictures Home Entertainment
Brief Encounter,"Classics, Drama, Romance",David Lean,Universal Pictures
Broken Arrow,"Action & Adventure, Classics, Drama, Western, Romance",Delmer Daves,Twentieth Century Fox Home Entertainment
