,guessWord,genreHint,directorsHint,studioHint,sentenceInfo
126,The Visitor,Drama,Tom McCarthy,Overture Films,3_7
127,Meet Bill,Comedy,"Melisa Wallack, Bernie Goldmann",First Look,4_4
128,Married Life,"Comedy, Drama, Mystery & Suspense, Romance",Ira Sachs,Sony Classics,7_4
129,Badland,Drama,Francesco Lucente,Arcangelo Entertainment,7
130,The Oxford Murders,"Art House & International, Drama, Horror, Mystery & Suspense",�lex de la Iglesia,Magnolia Pictures,3_6_7
131,Untraceable,"Drama, Horror, Mystery & Suspense",Gregory Hoblit,Sony/Screen Gems,11
132,The Informers,"Drama, Mystery & Suspense",Gregor Jordan,Senator International,3_9
133,Meeting Resistance,"Documentary, Special Interest","Molly Bingham, Steve Connors",IFC,7_10
134,The Freshman,"Comedy, Drama",Andrew Bergman,Sony Pictures Home Entertainment,3_8
135,Guta-yubalja-deul (A Bloody Aria),"Art House & International, Drama, Mystery & Suspense",Shin-yeon Won,,17_2_6_5
136,The Rocker,"Comedy, Drama",Peter Cattaneo,Fox Atomic,3_6
137,The Perfect Holiday,"Kids & Family, Romance",Lance Rivera,Yari Film Group,3_7_7
138,La Graine et le Mulet (The Secret of the Grain) (Couscous),"Art House & International, Drama",Abdel Kechiche,IFC Films,2_6_2_2_5_4_6_2_3_6_10
139,Land of the Lost,"Action & Adventure, Comedy, Science Fiction & Fantasy",Brad Silberling,Universal Pictures,4_2_3_4
140,[Rec],"Art House & International, Horror, Special Interest","Jaume Balaguer�, Paco Plaza",Odeon Sky Filmworks,5
141,Look,"Comedy, Drama",Adam Rifkin,Liberated Artists,4
142,And God Created Woman,"Classics, Comedy, Drama, Romance",Roger Vadim,Vestron Video,3_3_7_5
143,The Box,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Richard Kelly,Warner Bros. Pictures,3_3
144,Man in the Chair,"Comedy, Drama",Michael Schroeder,Outsider Films,3_2_3_5
145,Undoing,"Drama, Mystery & Suspense",Chris Chan Lee,Indican,7
146,Black Water,"Horror, Mystery & Suspense","David Nerlich, Andrew Traucki",GGrindstone Entertainment Group,5_5
147,21,"Drama, Mystery & Suspense",Robert Luketic,Sony/Columbia Pictures,2
148,The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe),"Art House & International, Drama, Romance",Jacques Rivette,IFC First Take,3_7_2_8_3_7_3_2_12_5_3_4
149,Ben X,"Art House & International, Drama, Mystery & Suspense",Nic Balthazar,Film Movement,3_1
150,Body of Lies,"Drama, Mystery & Suspense",Ridley Scott,Warner Bros. Pictures,4_2_4
151,Passengers,"Drama, Mystery & Suspense",Rodrigo Garc�a,Sony Pictures/TriStar Pictures,10
152,The Grand,Comedy,Zak Penn,Anchor Bay Entertainment,3_5
153,The Hammer,Comedy,Charles Herman-Wurmfeld,IFC Films,3_6
154,Shutter,"Horror, Mystery & Suspense",Masayuki Ochiai,20th Century Fox,7
155,Priest,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy, Western",Scott Stewart,Screen Gems/SONY PICTURES,6
156,The Broken,"Horror, Mystery & Suspense",Sean Ellis (II),After Dark Films,3_6
157,The Escapist,"Art House & International, Mystery & Suspense",Rupert Wyatt,IFC Films,3_8
158,Sugar,"Drama, Sports & Fitness","Anna Boden, Ryan Fleck",Sony Classics,5
159,Quid Pro Quo,"Drama, Mystery & Suspense",Carlos Brooks,Magnolia Pictures,4_3_3
160,Red,"Drama, Mystery & Suspense","Trygve Allister Diesen, Lucky McKee",Magnolia Pictures,3
161,The Guitar,Drama,Amy Redford,Lightning Media,3_6
162,The Road,"Drama, Mystery & Suspense, Science Fiction & Fantasy","Javier Aguirresarobe, John Hillcoat",The Weinstein Co./Dimension,3_4
163,G-Force,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy","Hoyt Yeatman, Hoyt Yeatman IV",Walt Disney Pictures,7
164,The Other Man,Drama,Richard Eyre,Image Entertainment,3_5_3
165,The Duchess,Drama,Saul Dibb,Paramount Vantage,3_7
166,The Women,"Comedy, Drama",Diane English,Picturehouse Entertainment,3_5
167,Public Enemies,"Action & Adventure, Drama",Michael Mann,Universal Studios,6_7
168,Night and Day (Bam gua nat),"Art House & International, Drama",Hong Sang-soo,IFC Films,5_3_3_4_3_4
169,Julia,"Art House & International, Drama, Mystery & Suspense",Erick Zonca,Magnolia Pictures,5
170,Angel and the Badman,"Classics, Western, Romance",James Edward Grant,Republic Pictures,5_3_3_6
171,Fade to Black,Mystery & Suspense,Oliver Parker,Lionsgate,4_2_5
172,Angel Heart,"Drama, Mystery & Suspense",Alan Parker,TriStar Pictures,5_5
173,Old Dogs,"Comedy, Drama, Kids & Family","Walt Becker, Walter Becker",Walt Disney Pictures,3_4
174,Surrogates,"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy",Jonathan Mostow,Touchstone Pictures,10
175,The Promotion,Comedy,Steven Conrad,Weinstein Company,3_9
176,Notorious,"Drama, Musical & Performing Arts",George Tillman Jr.,Fox Searchlight Pictures,9
177,Soul Men,"Comedy, Musical & Performing Arts",Malcolm D. Lee,MGM,4_3
178,Igor,"Animation, Comedy, Kids & Family","Anthony Leondis, Tony Leondis",MGM,4
179,The Matador,"Documentary, Special Interest","Stephen Higgins, Nina Gilden Seavey",City Lights Pictures,3_7
180,The Auteur,Comedy,James Westby,FilmBuff,3_6
181,The Caller,"Drama, Mystery & Suspense",Richard Ledes,Virgil Films & Entertainment,3_6
182,Sin Nombre,"Drama, Mystery & Suspense",Cary Joji Fukunaga,Focus Features,3_6
183,Das Haus der Schlafenden Sch�nen (House of the Sleeping Beauties),"Art House & International, Drama",Vadim Glowna,First Run Features,3_4_3_11_7_6_2_3_8_9
184,The Stone Angel,Drama,Kari Skogland,Vivendi Entertainment,3_5_5
185,Alvin and the Chipmunks: The Squeakquel,"Animation, Comedy, Kids & Family",Betty Thomas,20th Century Fox,5_3_3_10_3_10
186,Un Conte de No�l (A Christmas Tale),"Art House & International, Comedy, Drama",Arnaud Desplechin,IFC Films,2_5_2_4_2_9_5
187,The Rebound,"Comedy, Romance",Bart Freundlich,Momentum Picutres,3_7
188,Ripple Effect,Drama,Philippe Caland,Monterey Media,6_6
189,"1,000 Times Good Night",Drama,Erik Poppe,Film Movement,5_5_4_5
190,Harold,Comedy,T. Sean Shannon,Arsenal Pictures,6
191,Push,"Mystery & Suspense, Science Fiction & Fantasy",Paul McGuigan,Summit Entertainment,4
192,Felon,"Action & Adventure, Drama, Mystery & Suspense",Ric Roman Waugh,Sony Pictures Entertainment,5
193,Scar,"Drama, Horror, Mystery & Suspense",Jed Weintrob,Unknown,4
194,The Unborn,"Horror, Mystery & Suspense",David S. Goyer,Rogue Pictures,3_6
195,Bitch Slap,Action & Adventure,Rick Jacobson,Freestyle Releasing,5_4
196,Forever Strong,Drama,Ryan Little,Crane Movie Company,7_6
197,Chocolate,"Action & Adventure, Art House & International",Prachya Pinkaew,Magnolia Pictures,9
198,Fireproof,Drama,Alex Kendrick,Sherwood Pictures,9
199,Dostana,"Art House & International, Comedy","Tarun Mansukhani, Raj Khosla",Yash Raj Films,7
200,The Garden,"Documentary, Special Interest",Scott Hamilton Kennedy,Oscilloscope Pictures,3_6
201,Splinter,"Horror, Mystery & Suspense",Toby Wilkins,Magnolia Pictures/Magnet Pictures,8
202,Leaves of Grass,"Comedy, Drama, Mystery & Suspense",Tim Blake Nelson,First Look Studios,6_2_5
203,Rab Ne Bana Di Jodi (A Couple Made by God) (A Match Made in Heaven),Romance,Aditya Chopra,Yash Raj Films,3_2_4_2_4_2_6_4_2_4_2_5_4_2_7
204,The Proposal,"Comedy, Romance",Anne Fletcher,Walt Disney Pictures,3_8
205,Gigantic,"Comedy, Romance",Matt Aselton,First Independent Pictures,8
206,Fuel,"Documentary, Special Interest",Josh Tickell,Greenlight Theatrical,4
207,Hush,Mystery & Suspense,Mark Tonderai,IFC Films,4
208,Anna Karenina,"Classics, Drama, Romance",Clarence Brown,WARNER BROTHERS PICTURES,4_8
209,Orphan,"Drama, Horror, Mystery & Suspense",Jaume Collet-Serra,Warner Bros. Pictures,6
210,My Sister's Keeper,Drama,,Warner Bros. Pictures,2_8_6
211,The Hangover,Comedy,Todd Phillips,Warner Bros. Pictures,3_8
212,The Stepfather,"Horror, Mystery & Suspense",Nelson McCormick,Screen Gems,3_10
213,Okuribito (Departures),"Art House & International, Drama",Yojiro Takita,Regent Releasing,9_12
214,Boogie (Summer Holiday),"Comedy, Drama",Radu Muntean,IFC Films,6_7_8
215,Prima Ballerina,"Art House & International, Special Interest",Laurent Gentot,First Run Features,5_9
216,Season of the Witch,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",Dominic Sena,Relativity Media,6_2_3_5
217,Shuttle,Mystery & Suspense,Edward Anderson,Magnolia Pictures,7
218,Miss March,Comedy,"Zach Cregger, Trevor Moore",20th Century Fox,4_5
219,An American Affair,"Drama, Mystery & Suspense",Sebastian Shah,Screen Media Films,2_8_6
220,Grace,"Drama, Horror",Paul Solet,Anchor Bay Entertainment,5
221,Endgame,"Drama, Mystery & Suspense",Pete Travis,Monterey Media,7
222,The Red Baron (Der rote Baron),"Action & Adventure, Drama, Romance",Nikolai Muellerschoen,Monterey Media,3_3_5_4_4_6
223,The Objective,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",Daniel Myrick,IFC Films,3_9
224,Happy Tears,"Comedy, Drama",Mitchell Lichtenstein,Roadside Attractions,5_5
225,The Missing Person,"Comedy, Drama, Mystery & Suspense",Noah Buschel,Strand Releasing,3_7_6
226,Polanski (Polanski Unauthorized),"Art House & International, Drama",Damian Chapa,Walking Shadows,8_9_13
227,Mammoth (Mammut),"Art House & International, Drama",Lukas Moodysson,IFC Films,7_8
228,Crude,"Documentary, Special Interest",Joe Berlinger,First Run Features,5
229,The Messenger,"Drama, Romance",Oren Moverman,Oscilloscope Pictures,3_9
230,Lake Mungo,"Horror, Mystery & Suspense",Joel Anderson,After Dark Films,4_5
231,Venkovsk� Ucitel (The Country Teacher),"Art House & International, Drama",Bohdan Sl�ma,Film Movement,9_6_4_7_8
232,The Apartment,"Classics, Comedy, Drama, Romance",Billy Wilder,United Artists,3_9
233,Chatham (The Golden Boys),"Comedy, Romance",Daniel Adams,Roadside Attractions,7_4_6_5
234,The Ape,"Classics, Drama, Horror, Science Fiction & Fantasy",William Nigh,Monogram,3_3
235,Fame,"Drama, Musical & Performing Arts, Romance",Kevin Tancharoen,MGM,4
236,Outrage,Documentary,Kirby Dick,Magnolia Pictures,7
237,Skin,"Art House & International, Drama, Mystery & Suspense",Anthony Fabian,Elysian Films,4
238,Helen,Drama,"Christine Molloy, Joe Lawlor (II)",New Wave Films,5
239,Bakjwi (Thirst),"Art House & International, Drama, Horror",Chan-wook Park,Focus Features,6_8
240,Vengeance (Fuk sau),"Action & Adventure, Art House & International, Mystery & Suspense",Johnnie To,IFC Films,9_4_4
241,New World Order,"Documentary, Special Interest","Luke Meyer, Andrew Neel",SeeThink Productions,3_5_5
242,April Fool's Day,Horror,Fred Walton,Paramount Pictures,5_6_3
243,Blood: The Last Vampire,"Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy",Chris Nahon,Samuel Goldwyn Films,6_3_4_7
244,Shrink,"Comedy, Drama",Jonas Pate,Roadside Attractions,6
245,Ong Bak 2,"Action & Adventure, Art House & International","Panna Rittikrai, Prachya Pinkaew, Tony Jaa",Magnolia Pictures,3_3_1
246,Bananas!,"Art House & International, Documentary, Special Interest",Fredrik Gertten,WG Film,8
247,Last Ride,Drama,Glendyn Ivin,Music Box Films,4_4
248,Tron Legacy,"Action & Adventure, Science Fiction & Fantasy",Joseph Kosinski,Walt Disney Pictures,4_6
249,The Canyon,"Drama, Mystery & Suspense",Richard Harrah,Magnolia Pictures,3_6
250,"Manson, My Name Is Evil","Comedy, Drama, Science Fiction & Fantasy",Reginald Harkema,E1 Entertainment,7_2_4_2_4
251,Broken Hill,"Drama, Kids & Family",Dagen Merrill,Audience Alliance,6_4
252,A Beautiful Life,Drama,Alejandro Chomski,New Films International,1_9_4
253,Suck,"Comedy, Horror, Musical & Performing Arts",Rob Stefaniuk,Independent Films,4
254,Chloe,"Drama, Mystery & Suspense",Atom Egoyan,Sony Pictures Classics,5
255,Armed and Dangerous,Comedy,Mark L. Lester,Sony Pictures Home Entertainment,5_3_9
256,The Hole,"Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",Joe Dante,Hole LLC.,3_4
257,NoBody's Perfect,"Art House & International, Documentary, Drama, Special Interest, Sports & Fitness",Niko von Glasow,Lorber Films,8_7
258,The Good Soldier,"Documentary, Drama, Special Interest, Television","Michael Uys, Lexy Lovell",Artistic License,3_4_7
259,High Life,Comedy,Gary Yates,Union Pictures,4_4
260,Around the World in 80 Days,"Action & Adventure, Comedy, Drama, Kids & Family",Michael Anderson,United Artists,6_3_5_2_2_4
261,The Good Heart,Drama,Dagur K�ri,Magnolia Pictures,3_4_5
262,Wonderful World,"Drama, Romance",Joshua Goldin,Magnolia Pictures,9_5
263,Collapse,"Documentary, Special Interest",Chris Smith,Vitagraph Films,8
264,Three Blind Mice,"Comedy, Drama",Matthew Newton,IFC Films,5_5_4
265,The Last Song,"Drama, Kids & Family, Romance",Julie Ann Robinson,Walt Disney Studios,3_4_4
266,Babies,"Documentary, Special Interest",Thomas Balm�s,Focus Features,6
267,Lottery Ticket,Comedy,Erik White,Warner Bros. Pictures,7_6
268,Going the Distance,"Comedy, Romance",Nanette Burstein,New Line Cinema,5_3_8
269,Life as We Know It,"Comedy, Drama","Gary Berlanti, Greg Berlanti",Warner Bros. Pictures,4_2_2_4_2
270,The Final,"Drama, Horror, Mystery & Suspense",Joey Stewart,After Dark Films,3_5
271,Frozen,"Drama, Horror, Mystery & Suspense",Adam Green,Anchor Bay,6
272,Prodigal Sons,"Documentary, Special Interest",Kimberly Reed,First Run Features,8_4
273,The Ghost Writer,"Drama, Mystery & Suspense","Herv� de Luze, Roman Polanski",Summit Entertainment,3_5_6
274,Repo Men,"Action & Adventure, Science Fiction & Fantasy",Miguel Sapochnik,Universal Studios,4_3
275,7 Days (Les 7 jours du talion),"Art House & International, Horror, Mystery & Suspense",Daniel Grou,Sundance Selects,1_4_4_1_5_2_7
276,Daddy Longlegs,"Comedy, Drama","Benny Safdie, Josh Safdie",IFC Films,5_8
277,Winter's Bone,Drama,Debra Granik,Roadside Attractions,8_4
278,The Kids Are All Right,"Comedy, Drama",Lisa Cholodenko,Focus Features,3_4_3_3_5
279,Lucky,"Documentary, Special Interest",Jeffrey Blitz,HBO Documentary Films,5
280,High School,Comedy,"John Stalberg, Jr.",Anchor Bay Entertainment,4_6
281,Stolen,"Drama, Mystery & Suspense",Anders Anderson,IFC Films,6
282,The Killing Jar,"Drama, Mystery & Suspense",Mark Young,Image Entertianment,3_7_3
283,La MISSION,Drama,Peter Bratt,Screen Media Ventures,2_7
284,Predators,"Action & Adventure, Horror, Science Fiction & Fantasy",Nimr�d Antal,20th Century Fox,9
285,Stonewall Uprising,"Documentary, Special Interest","Kate Davis, David Heilbroner",First Run Features,9_8
286,The Oath,"Documentary, Special Interest",Laura Poitras,Zeitgeist Films,3_4
287,The Wild Hunt,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Alexandre Franchi,Hannover House,3_4_4
